------- mp_m_freemode_01 -------
Top 140 = jbib_010
Top 141 = jbib_011
Top 142 = jbib_012
Top 143 = jbib_013
Top 144 = jbib_014
Top 145 = jbib_015
Top 146 = jbib_016
Top 147 = jbib_017

------- mp_m_freemode_01_p_mp_m_executive_01 -------
Hat 66 = p_head_000
Hat 67 = p_head_001

------- mp_m_freemode_01_mp_m_stunt_01 -------
Mask 90 = berd_000
UpperSkin 111 = uppr_000
UpperSkin 112 = uppr_001
Pants 67 = lowr_000
Pants 68 = lowr_001
Pants 69 = lowr_002
Pants 70 = lowr_003
Pants 71 = lowr_004
Shoes 47 = feet_000
Shoes 48 = feet_001
Shoes 49 = feet_002
Shoes 50 = feet_003
UnderCoat 79 = accs_000
UnderCoat 80 = accs_001
UnderCoat 81 = accs_002
Decal 12 = decl_000
Decal 13 = decl_001
Decal 14 = decl_002
Decal 15 = decl_003
Top 148 = jbib_000
Top 149 = jbib_001
Top 150 = jbib_002
Top 151 = jbib_003
Top 152 = jbib_004
Top 153 = jbib_005
Top 154 = jbib_006
Top 155 = jbib_007
Top 156 = jbib_008
Top 157 = jbib_009

------- mp_m_freemode_01_p_mp_m_stunt_01 -------
Hat 68 = p_head_000
Hat 69 = p_head_001
Hat 70 = p_head_002
Hat 71 = p_head_003
Hat 72 = p_head_004
Hat 73 = p_head_005
Hat 74 = p_head_006
Hat 75 = p_head_007
Hat 76 = p_head_008
Hat 77 = p_head_009
Hat 78 = p_head_010
Hat 79 = p_head_011
Hat 80 = p_head_012
Hat 81 = p_head_013
Hat 82 = p_head_014
Hat 83 = p_head_015

------- mp_m_freemode_01_mp_m_bikerdlc_01 -------
Mask 91 = berd_000
Hair 32 = hair_000
Hair 33 = hair_001
Hair 34 = hair_002
Hair 35 = hair_003
Hair 36 = hair_004
Hair 37 = hair_005
UpperSkin 113 = uppr_000
UpperSkin 114 = uppr_001
UpperSkin 115 = uppr_002
UpperSkin 116 = uppr_003
UpperSkin 117 = uppr_004
UpperSkin 118 = uppr_005
UpperSkin 119 = uppr_006
UpperSkin 120 = uppr_007
UpperSkin 121 = uppr_008
UpperSkin 122 = uppr_009
UpperSkin 123 = uppr_010
UpperSkin 124 = uppr_011
UpperSkin 125 = uppr_012
UpperSkin 126 = uppr_013
UpperSkin 127 = uppr_014
UpperSkin 128 = uppr_015
UpperSkin 129 = uppr_016
UpperSkin 130 = uppr_017
UpperSkin 131 = uppr_018
UpperSkin 132 = uppr_019
UpperSkin 133 = uppr_020
UpperSkin 134 = uppr_021
UpperSkin 135 = uppr_022
UpperSkin 136 = uppr_023
Pants 72 = lowr_000
Pants 73 = lowr_001
Pants 74 = lowr_002
Pants 75 = lowr_003
Pants 76 = lowr_004
Pants 77 = lowr_005
Pants 78 = lowr_006
Parachute 63 = hand_000
Parachute 64 = hand_001
Parachute 65 = hand_002
Parachute 66 = hand_003
Parachute 67 = hand_004
Parachute 68 = hand_005
Parachute 69 = hand_006
Parachute 70 = hand_007
Shoes 51 = feet_000
Shoes 52 = feet_001
Shoes 53 = feet_002
Shoes 54 = feet_003
Shoes 55 = feet_004
Shoes 56 = feet_005
Shoes 57 = feet_006
UnderCoat 82 = accs_000
UnderCoat 83 = accs_001
UnderCoat 84 = accs_002
UnderCoat 85 = accs_003
UnderCoat 86 = accs_004
UnderCoat 87 = accs_005
UnderCoat 88 = accs_006
UnderCoat 89 = accs_007
UnderCoat 90 = accs_008
UnderCoat 91 = accs_009
UnderCoat 92 = accs_010
UnderCoat 93 = accs_011
UnderCoat 94 = accs_012
UnderCoat 95 = accs_013
UnderCoat 96 = accs_014
UnderCoat 97 = accs_015
Decal 16 = decl_000
Decal 17 = decl_001
Decal 18 = decl_002
Decal 19 = decl_003
Decal 20 = decl_004
Decal 21 = decl_005
Decal 22 = decl_006
Decal 23 = decl_007
Decal 24 = decl_008
Decal 25 = decl_009
Decal 26 = decl_010
Decal 27 = decl_011
Decal 28 = decl_012
Decal 29 = decl_013
Decal 30 = decl_014
Decal 31 = decl_015
Decal 32 = decl_016
Decal 33 = decl_017
Decal 34 = decl_018
Decal 35 = decl_019
Decal 36 = decl_020
Top 158 = jbib_000
Top 159 = jbib_001
Top 160 = jbib_002
Top 161 = jbib_003
Top 162 = jbib_004
Top 163 = jbib_005
Top 164 = jbib_006
Top 165 = jbib_007
Top 166 = jbib_008
Top 167 = jbib_009
Top 168 = jbib_010
Top 169 = jbib_011
Top 170 = jbib_012
Top 171 = jbib_013
Top 172 = jbib_014
Top 173 = jbib_015
Top 174 = jbib_016
Top 175 = jbib_017
Top 176 = jbib_018
Top 177 = jbib_019
Top 178 = jbib_020
Top 179 = jbib_021
Top 180 = jbib_022
Top 181 = jbib_023
Top 182 = jbib_024
Top 183 = jbib_025
Top 184 = jbib_026
Top 185 = jbib_027
Top 186 = jbib_028

------- mp_m_freemode_01_p_mp_m_bikerdlc_01 -------
Hat 84 = p_head_000
Hat 85 = p_head_001
Hat 86 = p_head_002
Hat 87 = p_head_003
Hat 88 = p_head_004
Hat 89 = p_head_005
Hat 90 = p_head_006
Hat 91 = p_head_007
Hat 92 = p_head_008
Hat 93 = p_head_009
Hat 94 = p_head_010
Hat 95 = p_head_011
Hat 96 = p_head_012
Glasses 25 = p_eyes_000
Glasses 26 = p_eyes_001
Watch 23 = p_lwrist_000
Watch 24 = p_lwrist_001
Watch 25 = p_lwrist_002
Watch 26 = p_lwrist_003
Watch 27 = p_lwrist_004
Watch 28 = p_lwrist_005
Watch 29 = p_lwrist_006
Watch 30 = p_lwrist_007
RightWrist 1 = p_rwrist_000
RightWrist 2 = p_rwrist_001
RightWrist 3 = p_rwrist_002
RightWrist 4 = p_rwrist_003
RightWrist 5 = p_rwrist_004
RightWrist 6 = p_rwrist_005
RightWrist 7 = p_rwrist_006
RightWrist 8 = p_rwrist_007

------- mp_m_freemode_01_mp_m_importexport_01 -------
Mask 92 = berd_000
Mask 93 = berd_001
Mask 94 = berd_002
Mask 95 = berd_003
Mask 96 = berd_004
Mask 97 = berd_005
Mask 98 = berd_006
Mask 99 = berd_007
Mask 100 = berd_008
Mask 101 = berd_009
Mask 102 = berd_010
Mask 103 = berd_011
Pants 79 = lowr_000
Pants 80 = lowr_001
Pants 81 = lowr_002
Pants 82 = lowr_003
Pants 83 = lowr_004
Pants 84 = lowr_005
Pants 85 = lowr_006
Pants 86 = lowr_007
Shoes 58 = feet_000
Shoes 59 = feet_001
UnderCoat 98 = accs_000
Decal 37 = decl_000
Decal 38 = decl_001
Decal 39 = decl_002
Top 187 = jbib_000
Top 188 = jbib_001
Top 189 = jbib_002
Top 190 = jbib_003
Top 191 = jbib_004
Top 192 = jbib_005
Top 193 = jbib_006
Top 194 = jbib_007
Top 195 = jbib_008
Top 196 = jbib_009
Top 197 = jbib_010
Top 198 = jbib_011
Top 199 = jbib_012
Top 200 = jbib_013
Top 201 = jbib_014
Top 202 = jbib_015
Top 203 = jbib_016
Top 204 = jbib_017
Top 205 = jbib_018
Top 206 = jbib_019

------- mp_m_freemode_01_p_mp_m_importexport_01 -------
Hat 97 = p_head_000
Hat 98 = p_head_001
Hat 99 = p_head_002
Hat 100 = p_head_003
Hat 101 = p_head_004
Hat 102 = p_head_005
Hat 103 = p_head_006

------- mp_m_freemode_01_mp_m_gunrunning_01 -------
Mask 104 = berd_000
Mask 105 = berd_001
Mask 106 = berd_002
Mask 107 = berd_003
Mask 108 = berd_004
Mask 109 = berd_005
UpperSkin 137 = uppr_000
UpperSkin 138 = uppr_001
UpperSkin 139 = uppr_002
UpperSkin 140 = uppr_003
UpperSkin 141 = uppr_004
UpperSkin 142 = uppr_005
UpperSkin 143 = uppr_006
UpperSkin 144 = uppr_007
UpperSkin 145 = uppr_008
UpperSkin 146 = uppr_009
UpperSkin 147 = uppr_010
UpperSkin 148 = uppr_011
UpperSkin 149 = uppr_012
UpperSkin 150 = uppr_013
UpperSkin 151 = uppr_014
UpperSkin 152 = uppr_015
UpperSkin 153 = uppr_016
UpperSkin 154 = uppr_017
UpperSkin 155 = uppr_018
UpperSkin 156 = uppr_019
UpperSkin 157 = uppr_020
UpperSkin 158 = uppr_021
UpperSkin 159 = uppr_022
UpperSkin 160 = uppr_023
UpperSkin 161 = uppr_024
UpperSkin 162 = uppr_025
UpperSkin 163 = uppr_026
UpperSkin 164 = uppr_027
Pants 87 = lowr_000
Pants 88 = lowr_001
Pants 89 = lowr_002
Pants 90 = lowr_003
Pants 91 = lowr_004
Shoes 60 = feet_000
Shoes 61 = feet_001
Shoes 62 = feet_002
Shoes 63 = feet_003
Shoes 64 = feet_004
UnderCoat 99 = accs_000
UnderCoat 100 = accs_001
UnderCoat 101 = accs_002
UnderCoat 102 = accs_003
UnderCoat 103 = accs_004
UnderCoat 104 = accs_005
UnderCoat 105 = accs_006
UnderCoat 106 = accs_007
UnderCoat 107 = accs_008
UnderCoat 108 = accs_009
Decal 40 = decl_000
Decal 41 = decl_001
Decal 42 = decl_002
Decal 43 = decl_003
Decal 44 = decl_004
Decal 45 = decl_005
Top 207 = jbib_000
Top 208 = jbib_001
Top 209 = jbib_002
Top 210 = jbib_003
Top 211 = jbib_004
Top 212 = jbib_005
Top 213 = jbib_006
Top 214 = jbib_007
Top 215 = jbib_008
Top 216 = jbib_009
Top 217 = jbib_010
Top 218 = jbib_011
Top 219 = jbib_012
Top 220 = jbib_013
Top 221 = jbib_014
Top 222 = jbib_015
Top 223 = jbib_016
Top 224 = jbib_017
Top 225 = jbib_018
Top 226 = jbib_019
Top 227 = jbib_020

------- mp_m_freemode_01_p_mp_m_gunrunning_01 -------
Hat 104 = p_head_000
Hat 105 = p_head_001
Hat 106 = p_head_002
Hat 107 = p_head_003
Hat 108 = p_head_004
Hat 109 = p_head_005
Hat 110 = p_head_006
Hat 111 = p_head_007

------- mp_m_freemode_01_mp_m_gunrunning_hair_01 -------
Hair 38 = hair_000
Hair 39 = hair_001
Hair 40 = hair_002
Hair 41 = hair_003
Hair 42 = hair_004
Hair 43 = hair_005
Hair 44 = hair_006
Hair 45 = hair_007
Hair 46 = hair_008
Hair 47 = hair_009
Hair 48 = hair_010
Hair 49 = hair_011
Hair 50 = hair_012
Hair 51 = hair_013
Hair 52 = hair_014
Hair 53 = hair_015
Hair 54 = hair_016
Hair 55 = hair_017
Hair 56 = hair_018
Hair 57 = hair_019
Hair 58 = hair_020
Hair 59 = hair_021
Hair 60 = hair_022
Hair 61 = hair_023
Hair 62 = hair_024
Hair 63 = hair_025
Hair 64 = hair_026
Hair 65 = hair_027
Hair 66 = hair_028
Hair 67 = hair_029
Hair 68 = hair_030
Hair 69 = hair_031
Hair 70 = hair_032
Hair 71 = hair_033
Hair 72 = hair_034
Hair 73 = hair_035
Hair 74 = hair_036

------- mp_m_freemode_01_mp_m_airraces_01 -------
Mask 110 = berd_000
Pants 92 = lowr_000
Pants 93 = lowr_001
Pants 94 = lowr_002
Shoes 65 = feet_000
UnderCoat 109 = accs_000
Decal 46 = decl_000
Decal 47 = decl_001
Top 228 = jbib_000
Top 229 = jbib_001
Top 230 = jbib_002
Top 231 = jbib_003
Top 232 = jbib_004

------- mp_m_freemode_01_p_mp_m_airraces_01 -------
Hat 112 = p_head_000

------- mp_m_freemode_01_mp_m_smuggler_01 -------
Mask 111 = berd_000
Mask 112 = berd_001
Mask 113 = berd_002
Mask 114 = berd_003
Mask 115 = berd_004
Mask 116 = berd_005
Mask 117 = berd_006
Mask 118 = berd_007
Mask 119 = berd_008
Mask 120 = berd_009
Mask 121 = berd_010
Shoes 66 = feet_000
Shoes 67 = feet_001
UnderCoat 110 = accs_000
UnderCoat 111 = accs_001
UnderCoat 112 = accs_002
UnderCoat 113 = accs_003
UnderCoat 114 = accs_004
UnderCoat 115 = accs_005
UnderCoat 116 = accs_006
UnderCoat 117 = accs_007
UnderCoat 118 = accs_008
UnderCoat 119 = accs_009
UnderCoat 120 = accs_010
UnderCoat 121 = accs_011
UnderCoat 122 = accs_012
Armor 30 = task_000
Armor 31 = task_001
Armor 32 = task_002
Armor 33 = task_003
Armor 34 = task_004
Armor 35 = task_005
Armor 36 = task_006
Armor 37 = task_007
Armor 38 = task_008
Decal 48 = decl_000
Decal 49 = decl_001
Top 233 = jbib_000
Top 234 = jbib_001
Top 235 = jbib_002
Top 236 = jbib_003
Top 237 = jbib_004
Top 238 = jbib_005
Top 239 = jbib_006
Top 240 = jbib_007
Top 241 = jbib_008

------- mp_m_freemode_01_p_mp_m_smuggler_01 -------
Hat 113 = p_head_000
Hat 114 = p_head_001
Hat 115 = p_head_002
Hat 116 = p_head_003
Hat 117 = p_head_004
Hat 118 = p_head_005
Hat 119 = p_head_006
Hat 120 = p_head_007
Hat 121 = p_head_008

------- mp_m_freemode_01_mp_m_christmas2017 -------
Mask 122 = berd_000
Mask 123 = berd_001
Mask 124 = berd_002
Mask 125 = berd_003
Mask 126 = berd_004
Mask 127 = berd_005
Mask 128 = berd_006
Mask 129 = berd_007
Mask 130 = berd_008
Mask 131 = berd_009
Mask 132 = berd_010
Mask 133 = berd_011
Pants 95 = lowr_000
Pants 96 = lowr_001
Pants 97 = lowr_002
Pants 98 = lowr_003
Pants 99 = lowr_004
Shoes 68 = feet_000
Shoes 69 = feet_001
Shoes 70 = feet_002
Shoes 71 = feet_003
Shoes 72 = feet_004
Shoes 73 = feet_005
Shoes 74 = feet_006
Accessories 126 = teef_000
Accessories 127 = teef_001
Accessories 128 = teef_002
Accessories 129 = teef_003
UnderCoat 123 = accs_000
UnderCoat 124 = accs_001
UnderCoat 125 = accs_002
UnderCoat 126 = accs_003
UnderCoat 127 = accs_004
UnderCoat 128 = accs_005
UnderCoat 129 = accs_006
UnderCoat 130 = accs_007
UnderCoat 131 = accs_008
UnderCoat 132 = accs_009
Decal 50 = decl_000
Decal 51 = decl_001
Decal 52 = decl_002
Decal 53 = decl_003
Decal 54 = decl_004
Decal 55 = decl_005
Decal 56 = decl_006
Decal 57 = decl_007
Decal 58 = decl_008
Decal 59 = decl_009
Decal 60 = decl_010
Decal 61 = decl_011
Top 242 = jbib_000
Top 243 = jbib_001
Top 244 = jbib_002
Top 245 = jbib_003
Top 246 = jbib_004
Top 247 = jbib_005
Top 248 = jbib_006
Top 249 = jbib_007
Top 250 = jbib_008
Top 251 = jbib_009
Top 252 = jbib_010
Top 253 = jbib_011
Top 254 = jbib_012

------- mp_m_freemode_01_p_mp_m_christmas2017 -------
Hat 122 = p_head_000
Hat 123 = p_head_001
Hat 124 = p_head_002
Hat 125 = p_head_003
Hat 126 = p_head_004
Hat 127 = p_head_005
Glasses 27 = p_eyes_000

------- mp_m_freemode_01_mp_m_assault -------
Pants 100 = lowr_000
Top 255 = jbib_000

------- mp_m_freemode_01_mp_m_battle -------
Mask 134 = berd_000
Pants 101 = lowr_000
Pants 102 = lowr_001
Shoes 75 = feet_000
Shoes 76 = feet_001
Shoes 77 = feet_002
UnderCoat 133 = accs_000
UnderCoat 134 = accs_001
UnderCoat 135 = accs_002
UnderCoat 136 = accs_003
UnderCoat 137 = accs_004
UnderCoat 138 = accs_005
Top 256 = jbib_000
Top 257 = jbib_001
Top 258 = jbib_002
Top 259 = jbib_003
Top 260 = jbib_004
Top 261 = jbib_005
Top 262 = jbib_006
Top 263 = jbib_007
Top 264 = jbib_008
Top 265 = jbib_009
Top 266 = jbib_010
Top 267 = jbib_011
Top 268 = jbib_012
Top 269 = jbib_013
Top 270 = jbib_014
Top 271 = jbib_015
Top 272 = jbib_016

------- mp_m_freemode_01_p_mp_m_battle -------
Hat 128 = p_head_000
Hat 129 = p_head_001

------- mp_m_freemode_01_mp_m_christmas2018 -------
Mask 135 = berd_000
Mask 136 = berd_001
Mask 137 = berd_002
Mask 138 = berd_003
Mask 139 = berd_004
Mask 140 = berd_005
Mask 141 = berd_006
Mask 142 = berd_007
Mask 143 = berd_008
Mask 144 = berd_009
Mask 145 = berd_010
Mask 146 = berd_011
Mask 147 = berd_012
Mask 148 = berd_013
UpperSkin 165 = uppr_000
UpperSkin 166 = uppr_001
UpperSkin 167 = uppr_002
UpperSkin 168 = uppr_003
Pants 103 = lowr_000
Pants 104 = lowr_001
Pants 105 = lowr_002
Pants 106 = lowr_003
Pants 107 = lowr_004
Pants 108 = lowr_005
Pants 109 = lowr_006
Pants 110 = lowr_007
Pants 111 = lowr_008
Pants 112 = lowr_009
Pants 113 = lowr_010
Pants 114 = lowr_011
Pants 115 = lowr_012
Parachute 71 = hand_000
Parachute 72 = hand_001
Parachute 73 = hand_002
Parachute 74 = hand_003
Parachute 75 = hand_004
Parachute 76 = hand_005
Parachute 77 = hand_006
Parachute 78 = hand_007
Parachute 79 = hand_008
Parachute 80 = hand_009
Parachute 81 = hand_010
Shoes 78 = feet_000
Shoes 79 = feet_001
Shoes 80 = feet_002
Shoes 81 = feet_003
Shoes 82 = feet_004
Shoes 83 = feet_005
Shoes 84 = feet_006
Shoes 85 = feet_007
Shoes 86 = feet_008
Shoes 87 = feet_009
Shoes 88 = feet_010
Shoes 89 = feet_011
Shoes 90 = feet_012
Shoes 91 = feet_013
Accessories 130 = teef_000
Accessories 131 = teef_001
Accessories 132 = teef_002
UnderCoat 139 = accs_000
UnderCoat 140 = accs_001
UnderCoat 141 = accs_002
UnderCoat 142 = accs_003
UnderCoat 143 = accs_004
UnderCoat 144 = accs_005
Decal 62 = decl_000
Top 273 = jbib_000
Top 274 = jbib_001
Top 275 = jbib_002
Top 276 = jbib_003
Top 277 = jbib_004
Top 278 = jbib_005
Top 279 = jbib_006
Top 280 = jbib_007
Top 281 = jbib_008
Top 282 = jbib_009
Top 283 = jbib_010
Top 284 = jbib_011
Top 285 = jbib_012
Top 286 = jbib_013
Top 287 = jbib_014
Top 288 = jbib_015
Top 289 = jbib_016
Top 290 = jbib_017

------- mp_m_freemode_01_p_mp_m_christmas2018 -------
Hat 130 = p_head_000
Hat 131 = p_head_001
Hat 132 = p_head_002
Hat 133 = p_head_003
Hat 134 = p_head_004
Hat 135 = p_head_005
Glasses 28 = p_eyes_000

------- DRAWABLE COUNTS -------
Hat: 135
Glasses: 28
Ear: 37
Watch: 30
RightWrist: 8
Head: 46
Mask: 148
Hair: 74
UpperSkin: 168
Pants: 115
Parachute: 81
Shoes: 91
Accessories: 132
UnderCoat: 144
Armor: 38
Decal: 62
Top: 290
